location_name,final_lat,final_long,source,country,state/province,county,city/town,ward,suburb/village,street,house number,postal code
Muloza Heath Centre,-16.08016,35.71573,HDX,Malawi,Southern Region,Mulanje,,,,,,
Mwanza District Hospital,-15.591091,34.5108653,Google,Malawi,Southern Region,Mwanza,Mwanza,,,,,
Nsipe Rural Hospital,-14.86434,34.75233,HDX,Malawi,Central Region,Ntcheu,Malikholeni,,,,,
Trinity Hospital,-16.4187732,35.1715276,Google,Malawi,Southern Region,Nsanje,Muona,,,,,
Queen Elizabeth Central Hospital,-15.8021572,35.0206465,Google,Malawi,Southern Region,Blantyre,Blantyre,Ginnery Corner,,,,
Limbe Health Center,-15.8169469,35.0519846,Google,Malawi,Southern Region,Blantyre,Blantyre,,,Kenyatta Drive,,
Ndirande Health Centre,-15.7779982,35.0395757,OSM,Malawi,Southern Region,Blantyre,Blantyre,Ndirande,,,,
Bangwe Health Centre,-15.8239623,35.0804385,Google,Malawi,Southern Region,Blantyre,Blantyre,Bangwe West,,,,
Chilomoni Health Centre,-15.7709342,34.9819445,Google,Malawi,Southern Region,Blantyre,Blantyre,Kabula,,,,
EYETHU YARONA CLINIC,-25.9914,27.9274,HDX,South Africa,Gauteng,City of Johannesburg Metropolitan Municipality,,Nietgedacht 535-Jq,,,,1739
KwaMhlanga CHC,-25.4364,28.7131,HDX,South Africa,Mpumalanga,Nkangala District Municipality,KwaMhlanga,,,,,
Siphosesimbi CHC,-25.8616,29.1242,HDX,South Africa,Mpumalanga,Nkangala District Municipality,eMalahleni,Kwa-Guqa,,Joseph Ntuli Street,1960,1073
Empumelelweni CHC,-25.8505192,29.0867185,Google,South Africa,Mpumalanga,Nkangala District Municipality,eMalahleni,,,,,
Vlaklaagte 2 CHC,-25.3747087,28.8604746,Google,South Africa,Mpumalanga,Nkangala District Municipality,Buhlebesizwe,,,,,
Thembalethu CHC,-25.4066,28.7792,HDX,South Africa,Mpumalanga,Nkangala District Municipality,KwaMhlanga,Enkeldoornoog-B,,,,
Phola CHC,-26.0081,29.0354,HDX,South Africa,Mpumalanga,Nkangala District Municipality,Emalahleni,Phola,,Mtshali Street,1933,2230
Siyathemba CHC,-26.6545312,28.607746,A_GIS,South Africa,Mpumalanga,Gert Sibande District Municipality,Balfour,Siyathemba,,,,2410
Grootvlei CHC,-26.8043845,28.5024016,Google,South Africa,Mpumalanga,Gert Sibande District Municipality,Thaba-Kgwali,Myndorp,,Jakaranda Street,5,2420
Embalenhle CHC,-26.5405,29.0745,HDX,South Africa,Mpumalanga,Gert Sibande District Municipality,Embalenhle,Embalenhle,,Sibiya Street,2017,2285
Paulina Morapeli CHC,-26.5627,29.0742,HDX,South Africa,Mpumalanga,Gert Sibande District Municipality,Embalenhle,Embalenhle,,Mhlambanyat Street,23146,2285
Winifred Maboa CHC,-26.943,29.2189,HDX,South Africa,Mpumalanga,Gert Sibande District Municipality,Standerton,,,,,
Lebohang CHC,-26.37945,28.92112,A_GIS,South Africa,Mpumalanga,Gert Sibande District Municipality,Thuli Fakude,Lebohang,,,,2265
Athlone,-33.9666667,18.505,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Athlone,,Dunbar Street,21,7760
Atlantis,-33.5672222,18.5002778,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Robinvale,,Fiskaal Street,45,7349
Belhar,-33.9467293,18.6329265,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Belhar 7,,Organ Street,37,7493
Bellville,-33.8942695,18.6294384,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Oakdale,,Durban Road,155B,7530
Bishop Lavis,-33.9486111,18.5758333,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Bishop Lavis,,Drakenstein Circle,55,7490
Blackheath,-33.9543008,18.6971947,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Blackheath,,Wimbledon Road,,7580
Blue Downs,-33.9872387,18.6907556,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Blue Downs,,Hindle Road,138B,7100
Bonteheuwel,-33.9523103,18.5527831,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Bonteheuwel,,Kiaat Road,47,7764
Bothasig,-33.8615426,18.5415884,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Bothasig,,Vryburger Avenue,128,7441
Brackenfell,-33.8815898,18.6954479,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Protea Hoogte,,Keurboom Avenue,25A,7560
Cape Town,-33.9271093,18.4200603,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Cape Town City Centre,,Plein Street,120,8000
Charlesville,-33.9599403,18.566353,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Charlesville,,John Jansen Road,9,7490
Dassenberg,-33.4961111,18.5141667,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Atlantis,,,,
De Doorns,-33.479444,19.670833,OSM,South Africa,Western Cape,Cape Winelands District Municipality,De Doorns,De Doorns,,Violet Street,20,6875
Delft,-33.9655556,18.6444444,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Delft,,,,7100
Durbanville,-33.8402778,18.6494444,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Valmary Park,,Mills Street,15,7550
Edenvale,-34.03186754,18.85833726,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Somerset West,,,,
Eersterivier,-34,18.7216667,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Rosedale,,Pinetree Way,25a,7100
Elsies Rivier,-33.930921,18.5772435,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Elnor,,Balvenie Avenue,25A,7490
Factreton,-33.91214,18.5206,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Windermere,,See Square,18,7405
Freedom Farm,-33.95059185,18.60069774,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Matroosfontein,,Stellenbosch Road,6A,7490
Goodwood,-33.9066667,18.5491667,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Goodwood Estate,,Alice Street,74B,7460
Gordons Bay,-34.1514673,18.8729732,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Anchorage Park,,Immortelle Avenue,24,7140
Guguletho,-33.9820184,18.5670952,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Guguletu,,Gasela Street,109,7750
HANOVER PARK,-33.9929381,18.5314753,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Hanover Park,,Johnvlei Walk,6A,7780
Hanover Park,-33.9929381,18.5314753,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Hanover Park,,Johnvlei Walk,6A,7780
Heideveld,-33.9641667,18.5488889,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Heideveld,,Noreen Square,16,7764
Highlands Village,-34.0325264,18.5869924,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Weltevreden Valley,,Edge Road,24B,7785
KENSINGTON,-33.9110826,18.50693377,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Kensington,,8th Avenue,134,7405
Kalksteenfontein,-33.9502778,18.5655556,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Kalksteenfontein,,Hanekam Street,40A,7490
Kempton Park,-26.0964372,28.2336325,OSM,South Africa,Gauteng,City of Ekurhuleni Metropolitan Municipality,Kempton Park,Gauteng,,Friedman Street,79,1620
Kensington,-33.9110826,18.50693377,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Kensington,,8th Avenue,134,7405
Kraaifontein,-33.84808,18.71723,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Peerless Park West,,Horak Street,165,7570
Kuilsrivier,-33.9269444,18.6855556,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Kuils River,,Hoop Street,59,7580
Macassar,-34.06040104,18.76337223,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Macassar,,Musica Avenue,75A,7130
Maitland,-33.9225,18.4930556,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Maitland,,Norway Street,44b,7405
Manenberg,-33.9838663,18.5552215,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Manenberg,,Kei Street,23,7767
Milnerton,-33.86882285,18.51154532,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Marconi Beam,,,,7441
Mitchells Plain,-34.0485946,18.6056873,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Westridge,,Drover Street,11,7802
Modderdam,-33.9257724,18.6321124,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Transnet,,Waterberry Crescent,108,7505
Montana,-33.4230556,19.2055556,OSM,South Africa,Western Cape,Cape Winelands District Municipality,Wolseley,Wolseley,,6th Street,46,6830
Mosselbaai,-34.1812126,22.1411053,ArcGIS,South Africa,Western Cape,Garden Route District Municipality,Mossel Bay,Mossel Bay Central,,George Road,2C,6500
Nyanga,-33.9953811,18.5849064,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Nyanga,,Thembele Kwandla Street,34,7755
Oakdale,-33.8913889,18.6363889,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Oakdale,,Killarney Street,28,7530
Ottery,-34.0134669,18.5016432,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Ottery,,,,7800
Paarl,-33.7310282,18.9642117,OSM,South Africa,Western Cape,Cape Winelands District Municipality,Paarl,Lemoenkloof,,Lady Grey Street,2,7646
Parow,-33.9025,18.5869444,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Glenlily,,Hopkins Street,42,7500
Phillipi,-34.01585085,18.59601656,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Heinz Park,,Daisy Crescent,64,7750
Ravensmead,-33.9211111,18.6063889,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Ravensmead,,Dalton Street,26,7493
Ruyterwacht,-33.9210462,18.5569818,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Ruyterwacht,,Haarlem Way,62,7460
Silversands,-33.9797222,18.6780556,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Silversands,,Anise Street,7,7580
Silvertown,-33.9630556,18.5294444,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Silvertown,,Colwyn Road,46,7764
Springbok,-29.6660948,17.8831039,OSM,South Africa,Northern Cape,Namakwa District Municipality,Springbok,Springbok,,Van Riebeeck Street,0,8240
Stikland,-33.8922222,18.6691667,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Heemstede,,Heemstede Drive,55B,7530
Strandfontein,-34.0778759,18.5730321,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Mitchells Plain,,,,
Surrey Estate,-33.9763889,18.5458333,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Surrey Estate,,Taurus Road,87,7764
Thornton,-33.9236111,18.5352778,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Thornton,,,,7460
Unknown,-33.9530781,18.5715479,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Valhalla Park,,Angela Street,63,7490
Valhalla Park,-33.9690855,18.6575119,Google,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Diepwater,,Silversands Road,2,7100
Wesbank,-33.9690855,18.6575119,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Diepwater,,Silversands Road,2,7100
West Court,-33.9029794,18.5992373,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Avondale,,Wynne Street,93,7500
Westlake,-34.0784902,18.4410137,OSM,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Westlake,,Stibitz Street,6,7945
Wolseley,-33.4130556,19.2016667,OSM,South Africa,Western Cape,Cape Winelands District Municipality,Wolseley,,,White Street,21,6830
Ysterplaat,-33.9077455,18.4906363,ArcGIS,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,Cape Town,Ysterplaat Airbase,,,,7405
Addo Clinic,-33.54672634,25.68818152,Google,South Africa,Eastern Cape,Sarah Baartman District Municipality,Addo,Addo,,Rohlihla Street,1178,6105
Algoa Park Clinic,-33.9011,25.5645,OSM,South Africa,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,Gqeberha,Algoa Park,,Chudleigh Street,8,6001
Amathole Basin Clinic,-32.6958,26.993,ArcGIS,South Africa,Eastern Cape,Amathole District Municipality,Komkhulu,,,,,
Baviaans Clinic,-33.3245277,24.3442579,Google,South Africa,Eastern Cape,Sarah Baartman District Municipality,Steytlerville,Steytlerville,,Piet Retief Street,4,6250
