location_name,final_lat,final_long,source,country,state/province,county,city/town,ward,suburb/village,street,house number,postal code
Hanover Northern Cape Province South Africa,-31.0682051,24.4439541,Google,South Africa,Northern Cape,Pixley ka Seme District Municipality,Hanover,Hanover,,Queen Street,25,7005
Jacobsdal Free State Province South Africa,-29.127612,24.774416,Google,South Africa,Free State,Xhariep District Municipality,Jacobsdal,,,Andries Pretoruis Street,,8710
Keimoes Upington Northern Cape Province South Africa,-28.44776,21.25612,ArcGIS,South Africa,Northern Cape,ZF Mgcawu District Municipality,Upington,Rand,,Camp Street,6,8801
Keurtjieskloof Renosterberg Northern Cape Province South Africa,-30.0105556,24.7318869,ArcGIS,South Africa,Northern Cape,Pixley ka Seme District Municipality,Vanderkloof,Van Der Kloof,,,,8771
Kirkwood Eastern Cape Province South Africa,-33.39829,25.44279,ArcGIS,South Africa,Oos-Kaap,Sarah Baartman District Municipality,Kirkwood,,,Markstraat,21,6120
Klaarstroom Prince Albert Western Cape Province South Africa,-33.33122,22.53592,ArcGIS,South Africa,Western Cape,Central Karoo District Municipality,Klaarstroom,,,,,6932
Leeu-Gamka Prince Albert Western Cape Province South Africa,-32.7672839,21.967243,Google,South Africa,Western Cape,Central Karoo District Municipality,Leeu Gamka,,,Granaatbos Street,3,6950
Louisvale Upington Northern Cape Province South Africa,-28.5740372,21.1978747,Google,South Africa,Northern Cape,ZF Mgcawu District Municipality,Louisvale,,,Kenhardt Road,,8801
Merweville Prince Albert Western Cape Province South Africa,-32.6694354,21.5139138,Google,South Africa,Western Cape,Central Karoo District Municipality,Merweville,,,Voortrekker Street,43,6940
Nieu-Bethesda Eastern Cape Province South Africa,-31.8669686,24.5533865,Google,South Africa,Eastern Cape,Sarah Baartman District Municipality,Nieu-Bethesda,,,Hudson Street,,6286
Paballelo Upington Northern Cape Province South Africa,-28.4392603,21.214452,Google,South Africa,Northern Cape,ZF Mgcawu District Municipality,Upington,Paballelo,,Lekanyane Crescent,241,8801
Petrusville  Renosterberg Northern Cape Province South Africa,-30.08113,24.6593,Google,South Africa,Northern Cape,Pixley ka Seme District Municipality,Petrusville,,,,,8770
Phillipstown Renosterberg Northern Cape Province South Africa,-30.4367427,24.4724852,Google,South Africa,Northern Cape,Pixley ka Seme District Municipality,Philipstown,,,R48,1868,8795
Prince Albert Western Cape Province South Africa,-33.22476,22.02673,Google,South Africa,Western Cape,Central Karoo District Municipality,Prince Albert,Prince Albert,,Klip Street,40,6930
Progress Upngton Northern Cape Province South Africa,-28.4605543,21.2204137,Google,South Africa,Northern Cape,ZF Mgcawu District Municipality,Upington,Progress,,,,8801
Raaswater Upington Northern Cape Province South Africa,-28.5925758,21.1894658,Google,South Africa,Northern Cape,ZF Mgcawu District Municipality,Raaswater,,,Druiwe Avenue,1,
Rosedale Upington Northern Cape Province South Africa,-28.4547193,21.2092356,Google,South Africa,Northern Cape,ZF Mgcawu District Municipality,Upington,Rosedale,,,,8801
Trompsburg Free State Province South Africa,-30.03363,25.78041,ArcGIS,South Africa,Free State,Xhariep District Municipality,Trompsburg,,,Voortrekker Street,64,9913
Amana,-6.8263726,39.2591028,Google,Tanzania,Dar es Salam,Ilala,Dar es Salaam,,,,,
Kimara,-6.7856,39.1662,HDX,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,,,,,
Kizuiani,-6.902893238,39.26606879,Manual,Tanzania,Dar es Salam,,Dar es Salaam,,,,,
Magomeni,-6.80663,39.25733,Google,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,,,,,
Mtoni,-6.868356624,39.27573048,Manual,Tanzania,Dar es Salam,Temeke,Dar es Salaam,,,,,
Muhimbili,-6.8039502,39.2703875,Google,Tanzania,Dar es Salam,Ilala,Dar es Salaam,,,,,
Mwananyamala,-6.786844078,39.25382127,Manual,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,,,,,
Mwenge,-6.766753112,39.23202925,Manual,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,Mwenge,,,,
Oyster Bay,-6.755766867,39.28203506,Manual,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,Masaki,,Touch Lane,7,14111
Rangi tatu,-6.9140205,39.2706386,Google,Tanzania,Dar es Salam,Temeke,Dar es Salaam,,,,,
Roundtable,-6.9014,39.2642,HDX,Tanzania,Dar es Salam,Temeke,Dar es Salaam,,,,,
Sinza,-6.782653803,39.22255687,Manual,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,,,Shekilango Road,,
Tabata 'A',-6.84228547,39.19550657,Manual,Tanzania,Dar es Salam,Ilala,Dar es Salaam,Segerea,,Amani Street,,
Tambuka reli,-2.56727701,32.93419366,Manual,Tanzania,Mwanza Region,Nyamagana,,,,,,
Tandale,-6.796505375,39.23780305,Manual,Tanzania,Dar es Salam,Kinondoni,Dar es Salaam,,,,,
Temeke,-6.859507748,39.26324142,Manual,Tanzania,Dar es Salam,Temeke,Dar es Salaam,,,Temeke Street,,
Vinguguti,-6.847850652,39.22548999,Manual,Tanzania,Dar es Salaam,Wilaya ya Ilala,Dar es Salaam,,,,,
